Academic Year,Term Number,Year Group,Module Name,Lecturer,Section,Room,Room,Start Week,End Week,Day,Start Time,End Time
22/23,2,3/4,Introduction to Statistical Learning,Nason,Statistics/Finance,340,HXLY 340,2,11,Tuesday,16:00,18:00
22/23,2,3/4,Statistical Theory,Ray,Statistics/Finance,340,HXLY 340,2,11,Wednesday,9:00,10:00
22/23,2,3/4,Statistical Modelling 2,Hallsworth,Statistics/Finance,340,HXLY 340,2,11,Wednesday,10:00,11:00
22/23,2,3/4,Mathematics of Business and Economics,Papatsouma,Statistics/Finance,340,HXLY 340,2,11,Wednesday,11:00,12:00
22/23,2,3/4,Survival Models,Gandy,Statistics/Finance,340,HXLY 340,1,10,Thursday,9:00,10:00
22/23,2,3/4,Statistical Modelling 2,Hallsworth,Statistics/Finance,213 - Clore,HXLY 213 - Clore,2,11,Thursday,10:00,11:00
22/23,2,3/4,Machine Learning,Filippi,Statistics/Finance,C661,CHEM C661,2,6,Thursday,11:00,13:00
22/23,2,3/4,Bayesian Methods,Mortlock,Statistics/Finance,C661,CHEM C661,7,9,Thursday,11:00,13:00
22/23,2,3/4,Bayesian Methods,Mortlock,Statistics/Finance,C661,CHEM C661,11,11,Thursday,11:00,13:00
22/23,2,3/4,Mathematics of Business and Economics,Papatsouma,Statistics/Finance,213 - Clore,HXLY 213 - Clore,1,10,Friday,9:00,10:00
22/23,2,3/4,Statistical Theory,Ray,Statistics/Finance,340,HXLY 340,1,10,Friday,10:00,11:00
22/23,2,3/4,Nonparametric Statistics,Ray,Statistics/Finance,308,HXLY 308,2,2,Friday,11:00,13:00
22/23,2,3/4,Nonparametric Statistics,Ray,Statistics/Finance,341,HXLY 341,3,6,Friday,11:00,13:00
22/23,2,3/4,Multivariate Analysis,Syulski,Statistics/Finance,139,HXLY 139,11,11,Friday,11:00,13:00
22/23,2,3/4,Multivariate Analysis,Syulski,Statistics/Finance,341,HXLY 341,7,10,Friday,11:00,13:00
22/23,2,3/4,Mathematical Finance: An Introduction to Option Pricing,Siorpaes,Statistics/Finance,213 - Clore,HXLY 213 - Clore,1,10,Friday,12:00,14:00
22/23,2,3/4,Survival Models,Gandy,Statistics/Finance,340,HXLY 340,1,10,Friday,14:00,15:00
